CO_CURSO,NO_CURSO,TOTAL_ALUNOS
"13397","CIÊNCIAS CONTÁBEIS","1444"
"13418","PEDAGOGIA","1382"
"13398","DIREITO","1133"
"13424","MEDICINA","841"
"107548","LETRAS - LÍNGUA PORTU","770"
"1110415","DIREITO","764"
"13395","ADMINISTRAÇÃO","763"
"107549","LETRAS - INGLÊS","645"
"13413","PSICOLOGIA","595"
"13417","SERVIÇO SOCIAL","591"
"13401","CIÊNCIA DA COMPUTAÇÃO","587"
"113621","ARQUIVOLOGIA","567"
"13396","BIBLIOTECONOMIA","564"
"98976","CIÊNCIAS CONTÁBEIS","541"
"13430","ENGENHARIA MECÂNICA","528"
"1127164","ENGENHARIA DE COMPUTA","527"
"13415","HISTÓRIA","527"
"44258","ENFERMAGEM","506"
"13455","ADMINISTRAÇÃO","490"
"113709","MEDICINA VETERINÁRIA","490"
"1127907","ALIMENTOS","484"
"13429","ENGENHARIA CIVIL","483"
"122924","PEDAGOGIA - EDUCAçãO","479"
"13421","FARMÁCIA","478"
"122926","PSICOPEDAGOGIA","475"
"98984","CIÊNCIA DA COMPUTAÇÃO","473"
"109626","PEDAGOGIA","472"
"13394","CIÊNCIAS ECONÔMICAS","471"
"113609","ENGENHARIA ELÉTRICA","464"
"19562","TURISMO","456"
"99045","MATEMÁTICA","448"
"1268219","JORNALISMO","432"
"13427","ARQUITETURA E URBANIS","419"
"98982","SECRETARIADO EXECUTIV","419"
"13422","FISIOTERAPIA","417"
"13426","ODONTOLOGIA","412"
"13399","CIÊNCIAS BIOLÓGICAS","409"
"13402","MATEMÁTICA","406"
"1126958","RELAÇÕES INTERNACIONA","394"
"1189063","ENGENHARIA DE ENERGIA","394"
"5001240","GASTRONOMIA","389"
"13454","AGRONOMIA","381"
"122288","EDUCAÇÃO FÍSICA","378"
"1127039","CIÊNCIAS ATUARIAIS","372"
"113615","ENGENHARIA AMBIENTAL","365"
"13425","NUTRIÇÃO","363"
"13423","EDUCAÇÃO FÍSICA","357"
"1110230","CIÊNCIAS SOCIAIS","354"
"1125641","COMUNICAÇÃO EM MÍDIAS","350"
"113604","ENGENHARIA QUÍMICA","337"
"116830","LETRAS - LETRAS CLáSS","334"
"1503759","CIÊNCIA DE DADOS E IN","331"
"1363988","GESTÃO PÚBLICA","328"
"113617","ENGENHARIA DE MATERIA","326"
"1127165","PRODUÇÃO SUCROALCOOLE","319"
"13428","ENGENHARIA DE ALIMENT","313"
"100220","HOTELARIA","310"
"98980","ECOLOGIA","308"
"1189062","BIOTECNOLOGIA","298"
"107356","PEDAGOGIA","278"
"122934","ENGENHARIA DE PRODUÇÃ","277"
"1123330","TERAPIA OCUPACIONAL","276"
"13459","CIÊNCIAS SOCIAIS","273"
"13404","QUÍMICA","271"
"313399","CIÊNCIAS BIOLÓGICAS","268"
"116826","CIÊNCIAS DAS RELIGIÕE","265"
"1399139","BIOMEDICINA","262"
"122918","FONOAUDIOLOGIA","260"
"107360","SISTEMAS DE INFORMAÇÃ","258"
"97039","MÚSICA","249"
"1268221","RADIALISMO","247"
"13406","GEOGRAFIA","243"
"1162838","CIÊNCIAS DAS RELIGIÕE","237"
"13403","ZOOTECNIA","229"
"107348","ANTROPOLOGIA","218"
"1268257","RELAÇÕES PÚBLICAS","218"
"1440696","ADMINISTRAÇÃO","218"
"19563","ENGENHARIA DE PRODUÇÃ","217"
"5000898","LETRAS - LÍNGUA PORTU","215"
"13431","QUÍMICA INDUSTRIAL","203"
"122928","LÍNGUAS ESTRANGEIRAS","201"
"13400","FÍSICA","198"
"107352","DESIGN","198"
"43454","ESTATÍSTICA","191"
"109948","MATEMÁTICA","182"
"313406","GEOGRAFIA","176"
"26564","MÚSICA","173"
"107553","LETRAS - ESPANHOL","170"
"313400","FÍSICA","168"
"80589","AGROINDÚSTRIA","162"
"13409","FILOSOFIA","156"
"109954","LETRAS - LÍNGUA PORTU","155"
"397767","CIÊNCIAS BIOLÓGICAS","154"
"122930","TRADUÇÃO","153"
"97767","CIÊNCIAS BIOLÓGICAS","146"
"1191007","DANÇA","144"
"1126690","LETRAS - LÍNGUA PORTU","143"
"107438","ARTES VISUAIS","139"
"107440","ARTES VISUAIS","128"
"1161324","QUÍMICA","125"
"1167933","AGROECOLOGIA","117"
"113701","CIÊNCIAS AGRÁRIAS","117"
"313404","QUÍMICA","115"
"13457","CIÊNCIAS AGRÁRIAS","113"
"5000897","QUÍMICA","111"
"313409","FILOSOFIA","110"
"1261910","LETRAS - INGLÊS","109"
"109950","PEDAGOGIA","106"
"107456","TEATRO","105"
"1166771","CINEMA E AUDIOVISUAL","104"
"113699","CIÊNCIAS BIOLÓGICAS","102"
"1261913","LETRAS - ESPANHOL","90"
"107552","LETRAS - FRANCÊS","85"
"1564470","CIÊNCIA DE DADOS PARA","85"
"407456","TEATRO","75"
"313402","MATEMÁTICA","52"
"1162837","MATEMÁTICA COMPUTACIO","33"
"1203263","ADMINISTRAÇÃO PÚBLICA","33"
"1203266","COMPUTAÇÃO","7"